First Name, Last Name, Nickname, Twitter, Occupation, Sex, Image, Wikia, Location, Season Name, Season Number, Character Type, Age, Placement, Days Lasted, Votes Against, Starting Tribe, Swapped Tribe, Med Evac, Quit, Tribe Wins, Individual Wins,
"Domenick","Abbate","","","Construction Supervisor","M","https://vignette.wikia.nocookie.net/survivor/images/e/ec/S36_Domenick_Abbate.jpg/revision/latest?cb=20180131173323","http://survivor.wikia.com/wiki/Domenick_Abbate","Nesconset, New York","Survivor: Ghost Island","36","","0","0","0","0","","","0","0","0","0",
"Nina","Acosta","","","Retired LAPD officer","F","http://vignette2.wikia.nocookie.net/survivor/images/0/0c/S24_nina_t.jpg/revision/latest?cb=20120830202443","http://survivor.wikia.com/wiki/Nina_Acosta","Clovis, CA","One World","24","I Can See Your Periscope","51","17","5","6","","","0","0","0","0",
"Garrett","Adelstein","","","Pro Poker Player","M","http://vignette2.wikia.nocookie.net/survivor/images/4/43/S28_garrett_c.png/revision/latest?cb=20140125111319","http://survivor.wikia.com/wiki/Garrett_Adelstein","Santa Monica, CA","Cagayan: BBB1","28","Seduce and Destroy","27","17","6","3","","","0","0","0","0",
"Desiree","Afuye","","","Student","F","https://vignette.wikia.nocookie.net/survivor/images/6/6e/S36_Desiree_Afuye.jpg/revision/latest?cb=20180131173308","http://survivor.wikia.com/wiki/Desiree_Afuye","Brooklyn, New York","Survivor: Ghost Island","36","","0","0","0","0","","","0","0","0","0",
"Ryan","Aiken","","","Model","M","http://vignette1.wikia.nocookie.net/survivor/images/e/ee/S6_ryan_t.jpg/revision/latest?cb=20120829030210","http://survivor.wikia.com/wiki/Ryan_Aiken","Ellicott City. MD","The Amazon","6","Surfer Dude","23","16","3","4","","","0","0","0","0",
"Rachel","Ako","","","Recruiting Director","","http://vignette1.wikia.nocookie.net/survivor/images/7/7e/S33-rachel-ako.jpg/revision/latest?cb=20160817205013","http://survivor.wikia.com/wiki/Rachel_Ako","Los Angeles, California","Millennials vs Gen X","33","Siren","38","20","4","5","","","0","0","0","0",
"Laura","Alexander","","","Administrative Officer","F","http://vignette1.wikia.nocookie.net/survivor/images/7/79/S26_laura_t.jpg/revision/latest?cb=20130111183731","http://survivor.wikia.com/wiki/Laura_Alexander","Washington D.C.","Caramoan: Fans vs Favourites 2","26","Meredith Grey","23","16","10","6","","","0","0","1","0",
"B.B.","Andersen","","","Retired contractor;Real Estate Developer","M","http://vignette4.wikia.nocookie.net/survivor/images/9/97/S1_bb_t.jpg/revision/latest?cb=20120828052827","http://survivor.wikia.com/wiki/B.B._Andersen","Mission Hills, KS","Borneo","1","The Specialist","64","15","6","6","","","0","0","2","0",
"Joel","Anderson","","","Fireman","M","http://vignette2.wikia.nocookie.net/survivor/images/a/a8/S16_joel_t.jpg/revision/latest?cb=20130108165127","http://survivor.wikia.com/wiki/Joel_Anderson","Avondale, AZ","Micronesia: Fans vs Favourites","16","John McClane","32","16","14","6","","","0","0","2","0",
"Nadiya","Anderson","","","Crossfit coach/Project Coordinator","F","http://vignette2.wikia.nocookie.net/survivor/images/7/7d/S29_nadiya_t.png/revision/latest?cb=20140828002740","http://survivor.wikia.com/wiki/Nadiya_Anderson","Edgewater, NJ","San Juan del Sur","29","Oh No You Didn't!","28","18","3","5","","","0","0","0","0",
"Natalie","Anderson","","","Crossfit coach/Physical Therapy student","F","http://vignette3.wikia.nocookie.net/survivor/images/f/f5/S29_natalie_t.png/revision/latest?cb=20140828002656","http://survivor.wikia.com/wiki/Natalie_Anderson","Edgewater, NJ","San Juan del Sur","29","Oh No You Didn't!","28","1","39","0","","","0","0","9","4",
"Alex","Angarita","","","Lawyer","M","http://vignette1.wikia.nocookie.net/survivor/images/4/4c/S14_alex_t.jpg/revision/latest?cb=20120830033746","http://survivor.wikia.com/wiki/Alex_Angarita","Los Angeles, CA","Fiji","14","Alpha Male Control Freak","28","7","33","9","","","0","0","10","1",
"Joe","Anglim","","","Jewelry Designer","M","http://vignette4.wikia.nocookie.net/survivor/images/4/49/S30_joe_t.png/revision/latest?cb=20150121191233","http://survivor.wikia.com/wiki/Joe_Anglim","Scottsdale, AZ","Worlds Apart","30","Surfer Dude","25","10","24","8","","","0","0","5","3",
"Joe","Anglim","","","Jewelry Designer","M","http://vignette4.wikia.nocookie.net/survivor/images/4/49/S30_joe_t.png/revision/latest?cb=20150121191233","http://survivor.wikia.com/wiki/Joe_Anglim","Scottsdale, AZ","Cambodia: Second Chance","31","Surfer Dude","27","8","32","8","","","0","0","0","0",
"Shii","Ann Huang","","","Executive Recruiter","F","http://vignette1.wikia.nocookie.net/survivor/images/1/16/S5_shiiann_t.jpg/revision/latest?cb=20120829021509","http://survivor.wikia.com/wiki/Shii_Ann_Huang","New York City, NY","Thailand","5","Culturally Awkward  Girl","28","10","21","10","","","0","0","6","0",
"Shii","Ann Huang","","","Executive Recruiter","F","http://vignette1.wikia.nocookie.net/survivor/images/1/16/S5_shiiann_t.jpg/revision/latest?cb=20120829021509","http://survivor.wikia.com/wiki/Shii_Ann_Huang","New York City, NY","All-Stars","8","Culturally Awkward  Girl","30","6","33","5","","","0","0","0","0",
"Tyson","Apostol","","","Former Professional Cyclist/MissionaryShop Manager","M","http://vignette3.wikia.nocookie.net/survivor/images/a/a3/S18_tyson_t.jpg/revision/latest?cb=20120830164449","http://survivor.wikia.com/wiki/Tyson_Apostol","Lindon, UT","Tocantins","18","Surfer Dude","29","8","27","5","","","0","0","5","2",
"Tyson","Apostol","","","Former Professional Cyclist/MissionaryShop Manager","M","http://vignette3.wikia.nocookie.net/survivor/images/a/a3/S18_tyson_t.jpg/revision/latest?cb=20120830164449","http://survivor.wikia.com/wiki/Tyson_Apostol","Lindon, UT","Heroes vs Villains","20","Surfer Dude","30","15","15","3","","","0","0","0","0",
"Tyson","Apostol","","","Former Professional Cyclist/MissionaryShop Manager","M","http://vignette3.wikia.nocookie.net/survivor/images/a/a3/S18_tyson_t.jpg/revision/latest?cb=20120830164449","http://survivor.wikia.com/wiki/Tyson_Apostol","Lindon, UT","Blood vs. Water","27","Surfer Dude","34","1","39","2","","","0","0","0","0",
"Coby","Archa","","","Hairstylist","M","http://vignette3.wikia.nocookie.net/survivor/images/3/3c/S10_coby_t.jpg/revision/latest?cb=20120829223005","http://survivor.wikia.com/wiki/Coby_Archa","Dallas, TX","Palau","10","Ponyboy","32","9","24","7","","","0","0","11","0",
"Ashlee","Ashby","","","Student","F","http://vignette3.wikia.nocookie.net/survivor/images/4/45/S10_ashlee_t.jpg/revision/latest?cb=20120829222926","http://survivor.wikia.com/wiki/Ashlee_Ashby","Easley, SC","Palau","10","Little Red Riding Hood","22","17","6","6","","","0","0","1","0",
"Peter","Baggenstos","","","ER doctor","M","http://vignette2.wikia.nocookie.net/survivor/images/3/32/S32_Peter_Baggenstos.jpg/revision/latest?cb=20160120165533","http://survivor.wikia.com/wiki/Peter_Baggenstos","Minneapolis, Minnesota","Kaoh Rong: BBB2","32","Seduce and Destroy","35","12","16","7","","","0","0","0","0",
"Randy","Bailey","","","Wedding videographer","M","http://vignette3.wikia.nocookie.net/survivor/images/6/66/S17_randy_t.jpg/revision/latest?cb=20120830160519","http://survivor.wikia.com/wiki/Randy_Bailey","Eagle Rock, MO","Gabon","17","Heisenberg","49","8","30","5","","","0","0","10","0",
"Randy","Bailey","","","Wedding videographer","M","http://vignette3.wikia.nocookie.net/survivor/images/6/66/S17_randy_t.jpg/revision/latest?cb=20120830160519","http://survivor.wikia.com/wiki/Randy_Bailey","Eagle Rock, MO","Heroes vs Villains","20","Heisenberg","50","18","8","9","","","0","0","0","0",
"Alan","Ball","","","NFL Player","M","https://vignette.wikia.nocookie.net/survivor/images/e/ed/S35_Alan_Ball.jpg/revision/latest?cb=20170830170403","http://survivor.wikia.com/wiki/Alan_Ball","Houston, Texas","Heroes vs. Healers vs. Hustlers","35","True Grit","18","15","1","0","","","0","0","0","0",
"Dave","Ball","","","Yoga Instructor","M","http://vignette2.wikia.nocookie.net/survivor/images/4/46/S19_dave_t.jpg/revision/latest?cb=20120830170336","http://survivor.wikia.com/wiki/Dave_Ball","Los Angeles, CA","Samoa","19","The Specialist","37","8","31","8","","","0","0","8","2",
"Caleb","Bankston","","","Post Office Manager/Farmer","M","http://vignette3.wikia.nocookie.net/survivor/images/b/bd/S27_caleb_t.jpg/revision/latest?cb=20130821173720","http://survivor.wikia.com/wiki/Caleb_Bankston","Collinsville, AL","Blood vs. Water","27","Social Butterfly (Perez Hilton)","25","9","30","4","","","0","0","3","0",
"Dan","Barry","","","Astronaut (retired)","M","http://vignette2.wikia.nocookie.net/survivor/images/e/e3/S12_dan_t.jpg/revision/latest?cb=20120830001828","http://survivor.wikia.com/wiki/Dan_Barry","South Hadley, MA","Panama: Exile Island","12","Know-It-All","51","11","15","3","","","0","0","6","0",
"Aras","Baskauskas","","","Yoga Instructor;Musician","M","http://vignette1.wikia.nocookie.net/survivor/images/c/c1/S12_aras_t.jpg/revision/latest?cb=20120830001709","http://survivor.wikia.com/wiki/Aras_Baskauskas","Santa Monica, CA","Panama: Exile Island","12","Surfer Dude","24","1","39","9","","","0","0","7","3",
"Aras","Baskauskas","","","Yoga Instructor;Musician","M","http://vignette1.wikia.nocookie.net/survivor/images/c/c1/S12_aras_t.jpg/revision/latest?cb=20120830001709","http://survivor.wikia.com/wiki/Aras_Baskauskas","Santa Monica, CA","Blood vs. Water","27","Surfer Dude","31","11","25","7","","","0","0","0","0",
"Vytas","Baskauskas","","","Yoga Instructor/Math Professor","M","http://vignette4.wikia.nocookie.net/survivor/images/b/be/S27_vytas_t.jpg/revision/latest?cb=20130821173724","http://survivor.wikia.com/wiki/Vytas_Baskauskas","Santa Monica, CA","Blood vs. Water","27","Mr. Miyagi","33","10","27","10","","","0","0","1","2",
"Vytas","Baskauskas","","","Yoga Instructor/Math Professor","M","http://vignette4.wikia.nocookie.net/survivor/images/b/be/S27_vytas_t.jpg/revision/latest?cb=20130821173724","http://survivor.wikia.com/wiki/Vytas_Baskauskas","Santa Monica, CA","Cambodia: Second Chance","31","Mr. Miyagi","36","20","3","6","","","0","0","0","0",
"Kellyn","Bechtold","","","Career Counselor","F","https://vignette.wikia.nocookie.net/survivor/images/7/7f/S36_Kellyn_Bechtold.jpg/revision/latest?cb=20180131174042","http://survivor.wikia.com/wiki/Kellyn_Bechtold","Denver, Colorado","Survivor: Ghost Island","36","","0","0","0","0","","","0","0","0","0",
"Debbie","Beebe","","","School Principal","F","http://vignette1.wikia.nocookie.net/survivor/images/c/c8/S18_debbie_t.jpg/revision/latest?cb=20120830164725","http://survivor.wikia.com/wiki/Debbie_Beebe","Auburn, AL","Tocantins","18","Tough Old Broad","46","6","33","6","","","0","0","5","3",
"Dirk","Been","","","Substitute teacher;Dairy Farmer","M","http://vignette3.wikia.nocookie.net/survivor/images/f/fa/S1_dirk_t.jpg/revision/latest?cb=20120828052853","http://survivor.wikia.com/wiki/Dirk_Been","Spring Green, WI","Borneo","1","Ponyboy","23","12","15","4","","","0","0","4","0",
"Jill","Behm","","","ER Doctor","F","http://vignette4.wikia.nocookie.net/survivor/images/d/d9/S21_jill_t.jpg/revision/latest?cb=20120830203845","http://survivor.wikia.com/wiki/Jill_Behm","Erie, PA","Nicaragua","21","I Can See Your Periscope","43","13","18","3","","","0","0","3","1",
"Alex","Bell","","","Triathlon Coach","M","http://vignette2.wikia.nocookie.net/survivor/images/8/88/S6_alex_t.jpg/revision/latest?cb=20120829025858","http://survivor.wikia.com/wiki/Alex_Bell","Los Angelees, CA","The Amazon","6","True Grit","32","7","30","6","","","0","0","4","1",
"Jean-Robert","Bellande","","","Poker player","M","http://vignette1.wikia.nocookie.net/survivor/images/a/a1/S15_jeanrobert_t.jpg/revision/latest?cb=20120830041734","http://survivor.wikia.com/wiki/Jean-Robert_Bellande","Los Angeles, CA","China","15","Seduce and Destroy","36","9","24","12","","","0","0","7","1",
"Brandon","Bellinger","","","Farmer","M","http://vignette4.wikia.nocookie.net/survivor/images/9/9d/S11_brandon_t.jpg/revision/latest?cb=20120829231739","http://survivor.wikia.com/wiki/Brandon_Bellinger","Manhattan, KS","Guatemala","11","Good Ol' Boy","22","10","21","6","","","0","0","8","0",
"Deena","Bennett","","","Deputy District Attorney","F","http://vignette1.wikia.nocookie.net/survivor/images/0/08/S6_deena_t.jpg/revision/latest?cb=20120829030004","http://survivor.wikia.com/wiki/Deena_Bennett","Riverside, CA","The Amazon","6","Meredith Grey","35","8","27","6","","","0","0","5","1",
"Jacquie","Berg","","","Medical Sales","F","http://vignette3.wikia.nocookie.net/survivor/images/6/6d/S17_jacquie_t.jpg/revision/latest?cb=20120830160339","http://survivor.wikia.com/wiki/Jacquie_Berg","Santa Barbara, CA","Gabon","17","Siren","25","15","12","5","","","0","0","3","0",
"Boo","Bernis","","","Construction Worker","M","http://vignette1.wikia.nocookie.net/survivor/images/9/9a/S14_boo_t.jpg/revision/latest?cb=20120830033813","http://survivor.wikia.com/wiki/Boo_Bernis","Lafayette, LA","Fiji","14","Good Ol' Boy","34","5","37","5","","","0","0","12","5",
