"winners_id","winners","winning_tribe"
27,"Amber","Dakal"
274,"Tyson","Dakal"
112,"Sandra","Dakal"
202,"Yul","Dakal"
536,"Wendell","Dakal"
353,"Sophie","Dakal"
371,"Kim","Dakal"
556,"Nick","Dakal"
414,"Sarah","Dakal"
424,"Tony","Dakal"
27,"Amber","Dakal"
274,"Tyson","Dakal"
112,"Sandra","Dakal"
202,"Yul","Dakal"
536,"Wendell","Dakal"
353,"Sophie","Dakal"
371,"Kim","Dakal"
556,"Nick","Dakal"
414,"Sarah","Dakal"
424,"Tony","Dakal"
166,"Danni","Sele"
48,"Ethan","Sele"
55,"Boston Rob","Sele"
197,"Parvati","Sele"
498,"Adam","Sele"
433,"Jeremy","Sele"
386,"Denise","Sele"
516,"Ben","Sele"
478,"Michele","Sele"
442,"Natalie","Sele"
274,"Tyson","Dakal"
112,"Sandra","Dakal"
202,"Yul","Dakal"
536,"Wendell","Dakal"
353,"Sophie","Dakal"
371,"Kim","Dakal"
556,"Nick","Dakal"
414,"Sarah","Dakal"
424,"Tony","Dakal"
274,"Tyson","Dakal"
112,"Sandra","Dakal"
202,"Yul","Dakal"
536,"Wendell","Dakal"
353,"Sophie","Dakal"
371,"Kim","Dakal"
556,"Nick","Dakal"
414,"Sarah","Dakal"
424,"Tony","Dakal"
274,"Tyson","Dakal"
112,"Sandra","Dakal"
202,"Yul","Dakal"
536,"Wendell","Dakal"
353,"Sophie","Dakal"
371,"Kim","Dakal"
556,"Nick","Dakal"
414,"Sarah","Dakal"
424,"Tony","Dakal"
274,"Tyson","Dakal"
112,"Sandra","Dakal"
202,"Yul","Dakal"
536,"Wendell","Dakal"
353,"Sophie","Dakal"
371,"Kim","Dakal"
556,"Nick","Dakal"
414,"Sarah","Dakal"
424,"Tony","Dakal"
55,"Boston Rob","Sele"
197,"Parvati","Sele"
498,"Adam","Sele"
433,"Jeremy","Sele"
386,"Denise","Sele"
516,"Ben","Sele"
478,"Michele","Sele"
442,"Natalie","Sele"
55,"Boston Rob","Sele"
197,"Parvati","Sele"
498,"Adam","Sele"
433,"Jeremy","Sele"
386,"Denise","Sele"
516,"Ben","Sele"
478,"Michele","Sele"
442,"Natalie","Sele"
197,"Parvati","Sele"
202,"Yul","Sele"
536,"Wendell","Sele"
556,"Nick","Sele"
478,"Michele","Sele"
112,"Sandra","Dakal"
371,"Kim","Dakal"
433,"Jeremy","Dakal"
386,"Denise","Dakal"
424,"Tony","Dakal"
498,"Adam","Yara"
353,"Sophie","Yara"
516,"Ben","Yara"
414,"Sarah","Yara"
498,"Adam","Yara"
353,"Sophie","Yara"
516,"Ben","Yara"
414,"Sarah","Yara"
498,"Adam","Yara"
353,"Sophie","Yara"
516,"Ben","Yara"
414,"Sarah","Yara"
498,"Adam","Yara"
353,"Sophie","Yara"
516,"Ben","Yara"
414,"Sarah","Yara"
498,"Adam","Yara"
353,"Sophie","Yara"
516,"Ben","Yara"
414,"Sarah","Yara"
498,"Adam","Yara"
353,"Sophie","Yara"
516,"Ben","Yara"
414,"Sarah","Yara"
498,"Adam","Yara"
353,"Sophie","Yara"
516,"Ben","Yara"
414,"Sarah","Yara"
202,"Yul","Sele"
536,"Wendell","Sele"
556,"Nick","Sele"
478,"Michele","Sele"
498,"Adam","Yara"
353,"Sophie","Yara"
516,"Ben","Yara"
