"winners_id","winners","winning_tribe","season","day","challenge_type"
27,"Amber","Dakal",40,2,"reward"
274,"Tyson","Dakal",40,2,"reward"
112,"Sandra","Dakal",40,2,"reward"
202,"Yul","Dakal",40,2,"reward"
536,"Wendell","Dakal",40,2,"reward"
353,"Sophie","Dakal",40,2,"reward"
371,"Kim","Dakal",40,2,"reward"
556,"Nick","Dakal",40,2,"reward"
414,"Sarah","Dakal",40,2,"reward"
424,"Tony","Dakal",40,2,"reward"
27,"Amber","Dakal",40,2,"immunity"
274,"Tyson","Dakal",40,2,"immunity"
112,"Sandra","Dakal",40,2,"immunity"
202,"Yul","Dakal",40,2,"immunity"
536,"Wendell","Dakal",40,2,"immunity"
353,"Sophie","Dakal",40,2,"immunity"
371,"Kim","Dakal",40,2,"immunity"
556,"Nick","Dakal",40,2,"immunity"
414,"Sarah","Dakal",40,2,"immunity"
424,"Tony","Dakal",40,2,"immunity"
166,"Danni","Sele",40,3,"immunity"
48,"Ethan","Sele",40,3,"immunity"
55,"Boston Rob","Sele",40,3,"immunity"
197,"Parvati","Sele",40,3,"immunity"
498,"Adam","Sele",40,3,"immunity"
433,"Jeremy","Sele",40,3,"immunity"
386,"Denise","Sele",40,3,"immunity"
516,"Ben","Sele",40,3,"immunity"
478,"Michele","Sele",40,3,"immunity"
442,"Natalie","Sele",40,3,"immunity"
274,"Tyson","Dakal",40,6,"reward"
112,"Sandra","Dakal",40,6,"reward"
202,"Yul","Dakal",40,6,"reward"
536,"Wendell","Dakal",40,6,"reward"
353,"Sophie","Dakal",40,6,"reward"
371,"Kim","Dakal",40,6,"reward"
556,"Nick","Dakal",40,6,"reward"
414,"Sarah","Dakal",40,6,"reward"
424,"Tony","Dakal",40,6,"reward"
274,"Tyson","Dakal",40,6,"immunity"
112,"Sandra","Dakal",40,6,"immunity"
202,"Yul","Dakal",40,6,"immunity"
536,"Wendell","Dakal",40,6,"immunity"
353,"Sophie","Dakal",40,6,"immunity"
371,"Kim","Dakal",40,6,"immunity"
556,"Nick","Dakal",40,6,"immunity"
414,"Sarah","Dakal",40,6,"immunity"
424,"Tony","Dakal",40,6,"immunity"
274,"Tyson","Dakal",40,9,"reward"
112,"Sandra","Dakal",40,9,"reward"
202,"Yul","Dakal",40,9,"reward"
536,"Wendell","Dakal",40,9,"reward"
353,"Sophie","Dakal",40,9,"reward"
371,"Kim","Dakal",40,9,"reward"
556,"Nick","Dakal",40,9,"reward"
414,"Sarah","Dakal",40,9,"reward"
424,"Tony","Dakal",40,9,"reward"
274,"Tyson","Dakal",40,9,"immunity"
112,"Sandra","Dakal",40,9,"immunity"
202,"Yul","Dakal",40,9,"immunity"
536,"Wendell","Dakal",40,9,"immunity"
353,"Sophie","Dakal",40,9,"immunity"
371,"Kim","Dakal",40,9,"immunity"
556,"Nick","Dakal",40,9,"immunity"
414,"Sarah","Dakal",40,9,"immunity"
424,"Tony","Dakal",40,9,"immunity"
55,"Boston Rob","Sele",40,11,"reward"
197,"Parvati","Sele",40,11,"reward"
498,"Adam","Sele",40,11,"reward"
433,"Jeremy","Sele",40,11,"reward"
386,"Denise","Sele",40,11,"reward"
516,"Ben","Sele",40,11,"reward"
478,"Michele","Sele",40,11,"reward"
442,"Natalie","Sele",40,11,"reward"
55,"Boston Rob","Sele",40,11,"immunity"
197,"Parvati","Sele",40,11,"immunity"
498,"Adam","Sele",40,11,"immunity"
433,"Jeremy","Sele",40,11,"immunity"
386,"Denise","Sele",40,11,"immunity"
516,"Ben","Sele",40,11,"immunity"
478,"Michele","Sele",40,11,"immunity"
442,"Natalie","Sele",40,11,"immunity"
197,"Parvati","Sele",40,14,"immunity"
202,"Yul","Sele",40,14,"immunity"
536,"Wendell","Sele",40,14,"immunity"
556,"Nick","Sele",40,14,"immunity"
478,"Michele","Sele",40,14,"immunity"
112,"Sandra","Dakal",40,14,"immunity"
371,"Kim","Dakal",40,14,"immunity"
433,"Jeremy","Dakal",40,14,"immunity"
386,"Denise","Dakal",40,14,"immunity"
424,"Tony","Dakal",40,14,"immunity"
498,"Adam","Yara",40,16,"reward"
353,"Sophie","Yara",40,16,"reward"
516,"Ben","Yara",40,16,"reward"
414,"Sarah","Yara",40,16,"reward"
498,"Adam","Yara",40,16,"reward"
353,"Sophie","Yara",40,16,"reward"
516,"Ben","Yara",40,16,"reward"
414,"Sarah","Yara",40,16,"reward"
498,"Adam","Yara",40,16,"immunity"
353,"Sophie","Yara",40,16,"immunity"
516,"Ben","Yara",40,16,"immunity"
414,"Sarah","Yara",40,16,"immunity"
498,"Adam","Yara",40,16,"immunity"
353,"Sophie","Yara",40,16,"immunity"
516,"Ben","Yara",40,16,"immunity"
414,"Sarah","Yara",40,16,"immunity"
498,"Adam","Yara",40,16,"immunity"
353,"Sophie","Yara",40,16,"immunity"
516,"Ben","Yara",40,16,"immunity"
414,"Sarah","Yara",40,16,"immunity"
498,"Adam","Yara",40,16,"immunity"
353,"Sophie","Yara",40,16,"immunity"
516,"Ben","Yara",40,16,"immunity"
414,"Sarah","Yara",40,16,"immunity"
498,"Adam","Yara",40,18,"reward"
353,"Sophie","Yara",40,18,"reward"
516,"Ben","Yara",40,18,"reward"
414,"Sarah","Yara",40,18,"reward"
202,"Yul","Sele",40,18,"reward"
536,"Wendell","Sele",40,18,"reward"
556,"Nick","Sele",40,18,"reward"
478,"Michele","Sele",40,18,"reward"
498,"Adam","Yara",40,18,"immunity"
353,"Sophie","Yara",40,18,"immunity"
516,"Ben","Yara",40,18,"immunity"
414,"Sarah","Yara",40,18,"immunity"
371,"Kim","Dakal",40,18,"immunity"
433,"Jeremy","Dakal",40,18,"immunity"
386,"Denise","Dakal",40,18,"immunity"
424,"Tony","Dakal",40,18,"immunity"
274,"Tyson",NA,40,21,"reward"
386,"Denise",NA,40,21,"immunity"
433,"Jeremy",NA,40,21,"immunity"
516,"Ben",NA,40,23,"reward"
371,"Kim",NA,40,23,"reward"
478,"Michele",NA,40,23,"reward"
414,"Sarah",NA,40,23,"reward"
353,"Sophie",NA,40,23,"reward"
556,"Nick",NA,40,23,"reward"
371,"Kim",NA,40,23,"immunity"
424,"Tony",NA,40,25,"immunity"
516,"Ben",NA,40,28,"reward"
371,"Kim",NA,40,28,"reward"
353,"Sophie",NA,40,28,"reward"
424,"Tony",NA,40,28,"immunity"
386,"Denise",NA,40,29,"immunity"
424,"Tony",NA,40,29,"immunity"
556,"Nick",NA,40,31,"immunity"
478,"Michele",NA,40,34,"immunity"
442,"Natalie",NA,40,36,"reward"
478,"Michele",NA,40,36,"reward"
386,"Denise",NA,40,36,"reward"
414,"Sarah",NA,40,36,"reward"
478,"Michele",NA,40,36,"immunity"
424,"Tony",NA,40,37,"immunity"
442,"Natalie",NA,40,38,"immunity"
572,"Molly","Vokai",39,3,"reward"
576,"Jason","Vokai",39,3,"reward"
577,"Jack","Vokai",39,3,"reward"
578,"Kellee","Vokai",39,3,"reward"
579,"Jamal","Vokai",39,3,"reward"
585,"Dan","Vokai",39,3,"reward"
586,"Janet","Vokai",39,3,"reward"
587,"Lauren","Vokai",39,3,"reward"
588,"Noura","Vokai",39,3,"reward"
590,"Tommy","Vokai",39,3,"reward"
572,"Molly","Vokai",39,3,"immunity"
576,"Jason","Vokai",39,3,"immunity"
577,"Jack","Vokai",39,3,"immunity"
578,"Kellee","Vokai",39,3,"immunity"
579,"Jamal","Vokai",39,3,"immunity"
585,"Dan","Vokai",39,3,"immunity"
586,"Janet","Vokai",39,3,"immunity"
587,"Lauren","Vokai",39,3,"immunity"
588,"Noura","Vokai",39,3,"immunity"
590,"Tommy","Vokai",39,3,"immunity"
573,"Vince","Lairo",39,6,"reward"
574,"Chelsea","Lairo",39,6,"reward"
575,"Tom","Lairo",39,6,"reward"
580,"Aaron","Lairo",39,6,"reward"
581,"Missy","Lairo",39,6,"reward"
582,"Elizabeth","Lairo",39,6,"reward"
583,"Karishma","Lairo",39,6,"reward"
584,"Elaine","Lairo",39,6,"reward"
589,"Dean","Lairo",39,6,"reward"
573,"Vince","Lairo",39,6,"immunity"
574,"Chelsea","Lairo",39,6,"immunity"
575,"Tom","Lairo",39,6,"immunity"
580,"Aaron","Lairo",39,6,"immunity"
581,"Missy","Lairo",39,6,"immunity"
582,"Elizabeth","Lairo",39,6,"immunity"
583,"Karishma","Lairo",39,6,"immunity"
584,"Elaine","Lairo",39,6,"immunity"
589,"Dean","Lairo",39,6,"immunity"
576,"Jason","Vokai",39,8,"reward"
577,"Jack","Vokai",39,8,"reward"
578,"Kellee","Vokai",39,8,"reward"
579,"Jamal","Vokai",39,8,"reward"
585,"Dan","Vokai",39,8,"reward"
586,"Janet","Vokai",39,8,"reward"
587,"Lauren","Vokai",39,8,"reward"
588,"Noura","Vokai",39,8,"reward"
590,"Tommy","Vokai",39,8,"reward"
576,"Jason","Vokai",39,8,"immunity"
577,"Jack","Vokai",39,8,"immunity"
578,"Kellee","Vokai",39,8,"immunity"
579,"Jamal","Vokai",39,8,"immunity"
585,"Dan","Vokai",39,8,"immunity"
586,"Janet","Vokai",39,8,"immunity"
587,"Lauren","Vokai",39,8,"immunity"
588,"Noura","Vokai",39,8,"immunity"
590,"Tommy","Vokai",39,8,"immunity"
576,"Jason","Vokai",39,11,"reward"
577,"Jack","Vokai",39,11,"reward"
578,"Kellee","Vokai",39,11,"reward"
579,"Jamal","Vokai",39,11,"reward"
585,"Dan","Vokai",39,11,"reward"
586,"Janet","Vokai",39,11,"reward"
587,"Lauren","Vokai",39,11,"reward"
588,"Noura","Vokai",39,11,"reward"
590,"Tommy","Vokai",39,11,"reward"
576,"Jason","Vokai",39,11,"immunity"
